ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
103;23;13 hours/week;13 hours/week;2 hours;2 hours;4 hours daily;1
104;21;14 hours/week;31 hours/week;3 hours;3 hours;6 hours daily;2
105;22;21 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;3
106;33;20 hours/week;30 hours/week;6 hours;6 hours;7 hours daily;4
107;39;27 hours/week;60 hours/week;6 hours;6 hours;9 hours daily;5
108;38;7 hours/week;4 hours/week;2 hours;2 hours;6 hours daily;2
109;36;24 hours/week;54 hours/week;8 hours;8 hours;9 hours daily;5
110;33;20 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;4
111;40;18 hours/week;36 hours/week;6 hours;6 hours;6 hours daily;2
112;35;21 hours/week;50 hours/week;9 hours;9 hours;8 hours daily;5
113;31;15 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;3
114;31;16 hours/week;40 hours/week;2 hours;2 hours;6 hours daily;3
115;27;7 hours/week;6 hours/week;1 hours;1 hours;6 hours daily;0
116;29;15 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;4
117;39;16 hours/week;35 hours/week;5 hours;5 hours;7 hours daily;4
118;23;25 hours/week;50 hours/week;6 hours;6 hours;9 hours daily;5
119;35;21 hours/week;54 hours/week;7 hours;7 hours;8 hours daily;5
120;36;19 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;4
121;37;2 hours/week;10 hours/week;0 hours;0 hours;6 hours daily;1
122;24;20 hours/week;40 hours/week;2 hours;2 hours;7 hours daily;4
123;39;17 hours/week;33 hours/week;4 hours;4 hours;7 hours daily;2
124;22;19 hours/week;33 hours/week;6 hours;6 hours;7 hours daily;3
125;38;23 hours/week;58 hours/week;10 hours;10 hours;7 hours daily;5
126;23;24 hours/week;51 hours/week;9 hours;9 hours;8 hours daily;5
127;39;25 hours/week;42 hours/week;9 hours;9 hours;7 hours daily;5
128;24;19 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;2
129;25;1 hours/week;4 hours/week;0 hours;0 hours;6 hours daily;0
130;35;20 hours/week;30 hours/week;11 hours;3 hours;7 hours daily;3
131;30;26 hours/week;46 hours/week;6 hours;6 hours;8 hours daily;5
132;31;22 hours/week;58 hours/week;9 hours;9 hours;7 hours daily;5
133;39;20 hours/week;38 hours/week;2 hours;2 hours;6 hours daily;2
134;20;18 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;3
135;24;23 hours/week;44 hours/week;10 hours;10 hours;8 hours daily;5
136;31;22 hours/week;50 hours/week;6 hours;6 hours;9 hours daily;5
137;40;28 hours/week;56 hours/week;7 hours;7 hours;9 hours daily;5
138;39;3 hours/week;5 hours/week;0 hours;0 hours;4 hours daily;0
139;36;15 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;2
140;40;23 hours/week;50 hours/week;8 hours;8 hours;7 hours daily;5
141;25;26 hours/week;55 hours/week;6 hours;6 hours;9 hours daily;5
142;36;21 hours/week;54 hours/week;7 hours;7 hours;7 hours daily;5
143;30;20 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;3
144;34;19 hours/week;37 hours/week;2 hours;2 hours;7 hours daily;4
145;27;12 hours/week;27 hours/week;2 hours;2 hours;5 hours daily;2
146;40;2 hours/week;2 hours/week;1 hours;1 hours;5 hours daily;2
147;34;5 hours/week;18 hours/week;1 hours;1 hours;5 hours daily;2
148;28;22 hours/week;45 hours/week;9 hours;9 hours;7 hours daily;5
149;21;13 hours/week;24 hours/week;1 hours;1 hours;4 hours daily;2
150;22;28 hours/week;52 hours/week;10 hours;10 hours;8 hours daily;5
151;40;3 hours/week;21 hours/week;0 hours;0 hours;6 hours daily;2
152;28;28 hours/week;56 hours/week;7 hours;7 hours;8 hours daily;5
153;24;21 hours/week;47 hours/week;10 hours;10 hours;9 hours daily;5
154;38;17 hours/week;32 hours/week;11 hours;2 hours;7 hours daily;2
155;40;20 hours/week;40 hours/week;11 hours;6 hours;7 hours daily;4
156;31;2 hours/week;14 hours/week;2 hours;2 hours;5 hours daily;2
157;26;5 hours/week;7 hours/week;0 hours;0 hours;5 hours daily;2
158;29;13 hours/week;27 hours/week;1 hours;1 hours;3 hours daily;0
159;21;15 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;3
160;36;27 hours/week;47 hours/week;10 hours;10 hours;9 hours daily;5
161;33;15 hours/week;34 hours/week;5 hours;5 hours;7 hours daily;3
162;29;16 hours/week;38 hours/week;11 hours;5 hours;7 hours daily;2
163;24;13 hours/week;28 hours/week;1 hours;1 hours;5 hours daily;1
164;33;24 hours/week;43 hours/week;9 hours;9 hours;8 hours daily;5
165;36;11 hours/week;19 hours/week;1 hours;1 hours;3 hours daily;0
166;31;0 hours/week;12 hours/week;1 hours;1 hours;4 hours daily;0
167;20;22 hours/week;43 hours/week;8 hours;8 hours;9 hours daily;5
168;38;24 hours/week;50 hours/week;10 hours;10 hours;9 hours daily;5
169;28;6 hours/week;8 hours/week;1 hours;1 hours;5 hours daily;0
170;32;11 hours/week;7 hours/week;0 hours;0 hours;6 hours daily;0
171;27;25 hours/week;46 hours/week;10 hours;10 hours;7 hours daily;5
172;40;17 hours/week;37 hours/week;2 hours;2 hours;7 hours daily;2
173;27;14 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;2
174;33;22 hours/week;60 hours/week;7 hours;7 hours;8 hours daily;5
175;37;7 hours/week;29 hours/week;1 hours;1 hours;5 hours daily;2
176;33;25 hours/week;49 hours/week;9 hours;9 hours;7 hours daily;5
177;29;24 hours/week;52 hours/week;9 hours;9 hours;8 hours daily;5
178;35;21 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;4
179;29;16 hours/week;35 hours/week;3 hours;3 hours;7 hours daily;2
180;28;14 hours/week;19 hours/week;1 hours;1 hours;3 hours daily;0
181;30;17 hours/week;34 hours/week;11 hours;5 hours;6 hours daily;4
182;37;25 hours/week;43 hours/week;8 hours;8 hours;9 hours daily;5
183;28;24 hours/week;52 hours/week;9 hours;9 hours;9 hours daily;5
184;29;1 hours/week;17 hours/week;2 hours;2 hours;3 hours daily;0
185;32;2 hours/week;26 hours/week;2 hours;2 hours;4 hours daily;0
186;38;20 hours/week;31 hours/week;4 hours;4 hours;6 hours daily;2
187;29;5 hours/week;22 hours/week;2 hours;2 hours;4 hours daily;2
188;28;20 hours/week;35 hours/week;3 hours;3 hours;7 hours daily;4
189;26;14 hours/week;29 hours/week;1 hours;1 hours;5 hours daily;1
190;32;21 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;2
191;20;27 hours/week;41 hours/week;7 hours;7 hours;8 hours daily;5
192;32;17 hours/week;34 hours/week;5 hours;5 hours;6 hours daily;2
193;28;5 hours/week;14 hours/week;0 hours;0 hours;3 hours daily;2
194;23;28 hours/week;59 hours/week;6 hours;6 hours;7 hours daily;5
195;34;24 hours/week;51 hours/week;9 hours;9 hours;8 hours daily;5
196;26;4 hours/week;9 hours/week;1 hours;1 hours;3 hours daily;1
197;33;21 hours/week;57 hours/week;10 hours;10 hours;7 hours daily;5
198;32;21 hours/week;37 hours/week;5 hours;5 hours;7 hours daily;3
199;23;21 hours/week;46 hours/week;10 hours;10 hours;8 hours daily;5
200;30;16 hours/week;31 hours/week;4 hours;4 hours;6 hours daily;3
201;33;26 hours/week;54 hours/week;10 hours;10 hours;7 hours daily;5
202;22;21 hours/week;40 hours/week;3 hours;3 hours;6 hours daily;2
203;27;17 hours/week;40 hours/week;5 hours;5 hours;7 hours daily;4
204;32;17 hours/week;33 hours/week;2 hours;2 hours;7 hours daily;4
205;20;25 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
206;30;20 hours/week;34 hours/week;3 hours;3 hours;7 hours daily;4
207;35;13 hours/week;14 hours/week;0 hours;0 hours;6 hours daily;2
208;22;1 hours/week;29 hours/week;0 hours;0 hours;6 hours daily;1
209;32;17 hours/week;31 hours/week;5 hours;5 hours;7 hours daily;3
210;38;7 hours/week;6 hours/week;1 hours;1 hours;6 hours daily;0
211;24;28 hours/week;46 hours/week;10 hours;10 hours;9 hours daily;5
212;38;27 hours/week;44 hours/week;8 hours;8 hours;8 hours daily;5
213;30;21 hours/week;36 hours/week;2 hours;2 hours;6 hours daily;2
214;35;18 hours/week;40 hours/week;5 hours;5 hours;7 hours daily;3
215;29;20 hours/week;32 hours/week;3 hours;3 hours;6 hours daily;4
216;30;9 hours/week;7 hours/week;0 hours;0 hours;6 hours daily;1
217;30;24 hours/week;57 hours/week;7 hours;7 hours;7 hours daily;5
218;29;15 hours/week;37 hours/week;3 hours;3 hours;7 hours daily;4
219;35;25 hours/week;41 hours/week;7 hours;7 hours;9 hours daily;5
220;32;10 hours/week;10 hours/week;2 hours;2 hours;4 hours daily;0
221;34;21 hours/week;50 hours/week;7 hours;7 hours;8 hours daily;5
222;39;27 hours/week;47 hours/week;9 hours;9 hours;7 hours daily;5
223;27;3 hours/week;6 hours/week;1 hours;1 hours;4 hours daily;2
224;34;27 hours/week;54 hours/week;9 hours;9 hours;7 hours daily;5
225;25;17 hours/week;35 hours/week;3 hours;3 hours;6 hours daily;4
226;22;1 hours/week;11 hours/week;1 hours;1 hours;5 hours daily;1
227;31;19 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;2
228;29;11 hours/week;0 hours/week;2 hours;2 hours;4 hours daily;0
229;31;17 hours/week;37 hours/week;4 hours;4 hours;6 hours daily;3
230;37;21 hours/week;45 hours/week;6 hours;6 hours;8 hours daily;5
231;35;21 hours/week;51 hours/week;9 hours;9 hours;7 hours daily;5
232;20;13 hours/week;16 hours/week;1 hours;1 hours;6 hours daily;0
233;35;25 hours/week;56 hours/week;6 hours;6 hours;9 hours daily;5
234;40;8 hours/week;26 hours/week;0 hours;0 hours;6 hours daily;0
235;24;20 hours/week;35 hours/week;4 hours;4 hours;7 hours daily;3
236;36;4 hours/week;7 hours/week;1 hours;1 hours;5 hours daily;2
237;38;25 hours/week;50 hours/week;11 hours;7 hours;8 hours daily;5
238;38;14 hours/week;19 hours/week;0 hours;0 hours;6 hours daily;0
239;29;25 hours/week;53 hours/week;10 hours;10 hours;7 hours daily;5
240;20;5 hours/week;16 hours/week;11 hours;2 hours;4 hours daily;1
241;30;22 hours/week;53 hours/week;7 hours;7 hours;8 hours daily;5
242;25;27 hours/week;54 hours/week;6 hours;6 hours;7 hours daily;5
243;37;27 hours/week;52 hours/week;9 hours;9 hours;8 hours daily;5
244;21;22 hours/week;42 hours/week;8 hours;8 hours;8 hours daily;5
245;24;20 hours/week;34 hours/week;11 hours;4 hours;7 hours daily;4
246;31;19 hours/week;35 hours/week;6 hours;6 hours;7 hours daily;3
247;29;3 hours/week;9 hours/week;2 hours;2 hours;5 hours daily;2
248;24;5 hours/week;30 hours/week;2 hours;2 hours;6 hours daily;2
249;29;14 hours/week;33 hours/week;3 hours;3 hours;7 hours daily;3
250;25;28 hours/week;60 hours/week;6 hours;6 hours;7 hours daily;5
251;34;26 hours/week;50 hours/week;10 hours;10 hours;9 hours daily;5
252;30;5 hours/week;1 hours/week;2 hours;2 hours;5 hours daily;0
253;24;18 hours/week;39 hours/week;6 hours;6 hours;6 hours daily;4
254;40;16 hours/week;40 hours/week;5 hours;5 hours;6 hours daily;4
255;32;28 hours/week;57 hours/week;8 hours;8 hours;8 hours daily;5
256;29;0 hours/week;29 hours/week;2 hours;2 hours;3 hours daily;2
257;27;21 hours/week;37 hours/week;6 hours;6 hours;6 hours daily;3
258;37;27 hours/week;48 hours/week;6 hours;6 hours;7 hours daily;5
259;25;28 hours/week;42 hours/week;8 hours;8 hours;8 hours daily;5
260;23;15 hours/week;39 hours/week;5 hours;5 hours;7 hours daily;3
261;37;24 hours/week;58 hours/week;10 hours;10 hours;8 hours daily;5
262;22;10 hours/week;2 hours/week;2 hours;2 hours;4 hours daily;2
263;32;4 hours/week;19 hours/week;2 hours;2 hours;3 hours daily;2
264;22;26 hours/week;44 hours/week;7 hours;7 hours;8 hours daily;5
265;25;15 hours/week;33 hours/week;2 hours;2 hours;6 hours daily;3
266;37;28 hours/week;42 hours/week;9 hours;9 hours;9 hours daily;5
267;32;14 hours/week;40 hours/week;11 hours;3 hours;7 hours daily;3
268;40;14 hours/week;32 hours/week;5 hours;5 hours;6 hours daily;2
269;32;8 hours/week;19 hours/week;2 hours;2 hours;3 hours daily;0
270;31;14 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;3
271;37;16 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;2
272;37;18 hours/week;35 hours/week;5 hours;5 hours;7 hours daily;2
273;32;7 hours/week;29 hours/week;2 hours;2 hours;4 hours daily;0
274;35;18 hours/week;37 hours/week;5 hours;5 hours;7 hours daily;3
275;26;19 hours/week;35 hours/week;5 hours;5 hours;7 hours daily;4
276;27;9 hours/week;24 hours/week;2 hours;2 hours;4 hours daily;1
277;31;9 hours/week;29 hours/week;2 hours;2 hours;3 hours daily;2
278;38;9 hours/week;30 hours/week;11 hours;0 hours;4 hours daily;0
279;27;23 hours/week;58 hours/week;6 hours;6 hours;9 hours daily;5
280;20;19 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;3
281;40;4 hours/week;26 hours/week;0 hours;0 hours;5 hours daily;1
282;37;28 hours/week;42 hours/week;6 hours;6 hours;7 hours daily;5
283;33;28 hours/week;42 hours/week;10 hours;10 hours;8 hours daily;5
284;22;21 hours/week;48 hours/week;6 hours;6 hours;8 hours daily;5
285;31;16 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;3
286;32;24 hours/week;50 hours/week;9 hours;9 hours;8 hours daily;5
287;31;5 hours/week;18 hours/week;0 hours;0 hours;6 hours daily;1
288;25;14 hours/week;4 hours/week;0 hours;0 hours;4 hours daily;1
289;21;12 hours/week;23 hours/week;2 hours;2 hours;3 hours daily;2
290;20;19 hours/week;37 hours/week;6 hours;6 hours;7 hours daily;2
291;21;24 hours/week;59 hours/week;6 hours;6 hours;7 hours daily;5
292;20;15 hours/week;35 hours/week;3 hours;3 hours;7 hours daily;3
293;33;5 hours/week;16 hours/week;0 hours;0 hours;3 hours daily;1
294;31;27 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
295;36;18 hours/week;30 hours/week;2 hours;2 hours;7 hours daily;2
296;23;23 hours/week;47 hours/week;8 hours;8 hours;9 hours daily;5
297;37;13 hours/week;13 hours/week;1 hours;1 hours;4 hours daily;2
298;31;22 hours/week;51 hours/week;10 hours;10 hours;8 hours daily;5
299;22;7 hours/week;14 hours/week;0 hours;0 hours;4 hours daily;2
300;20;21 hours/week;55 hours/week;9 hours;9 hours;8 hours daily;5
301;28;9 hours/week;4 hours/week;0 hours;0 hours;6 hours daily;0
302;28;17 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;2
303;40;8 hours/week;9 hours/week;0 hours;0 hours;3 hours daily;0
304;28;14 hours/week;15 hours/week;2 hours;2 hours;3 hours daily;0
305;34;14 hours/week;29 hours/week;1 hours;1 hours;6 hours daily;1
306;32;3 hours/week;7 hours/week;1 hours;1 hours;6 hours daily;1
307;40;3 hours/week;23 hours/week;1 hours;1 hours;6 hours daily;0
308;39;7 hours/week;2 hours/week;0 hours;0 hours;6 hours daily;1
309;30;25 hours/week;59 hours/week;7 hours;7 hours;9 hours daily;5
310;23;13 hours/week;5 hours/week;11 hours;0 hours;5 hours daily;0
311;21;0 hours/week;21 hours/week;0 hours;0 hours;3 hours daily;0
312;22;13 hours/week;27 hours/week;1 hours;1 hours;5 hours daily;2
313;33;25 hours/week;58 hours/week;9 hours;9 hours;7 hours daily;5
314;24;7 hours/week;16 hours/week;0 hours;0 hours;6 hours daily;1
315;32;9 hours/week;0 hours/week;2 hours;2 hours;3 hours daily;2
316;32;28 hours/week;51 hours/week;10 hours;10 hours;7 hours daily;5
317;36;24 hours/week;56 hours/week;7 hours;7 hours;8 hours daily;5
318;22;13 hours/week;16 hours/week;0 hours;0 hours;5 hours daily;1
319;28;21 hours/week;31 hours/week;3 hours;3 hours;7 hours daily;2
320;34;16 hours/week;40 hours/week;4 hours;4 hours;7 hours daily;3
321;37;17 hours/week;40 hours/week;3 hours;3 hours;7 hours daily;2
322;20;9 hours/week;23 hours/week;0 hours;0 hours;3 hours daily;2
323;36;22 hours/week;44 hours/week;9 hours;9 hours;8 hours daily;5
324;24;27 hours/week;53 hours/week;8 hours;8 hours;7 hours daily;5
325;28;22 hours/week;55 hours/week;6 hours;6 hours;9 hours daily;5
326;33;9 hours/week;20 hours/week;1 hours;1 hours;5 hours daily;1
327;21;13 hours/week;27 hours/week;2 hours;2 hours;6 hours daily;0
328;34;13 hours/week;21 hours/week;1 hours;1 hours;6 hours daily;1
329;32;2 hours/week;4 hours/week;2 hours;2 hours;3 hours daily;0
330;21;21 hours/week;55 hours/week;9 hours;9 hours;7 hours daily;5
331;36;19 hours/week;32 hours/week;2 hours;2 hours;6 hours daily;3
332;30;17 hours/week;36 hours/week;6 hours;6 hours;6 hours daily;3
333;30;19 hours/week;36 hours/week;5 hours;5 hours;6 hours daily;2
334;29;1 hours/week;19 hours/week;1 hours;1 hours;5 hours daily;2
335;28;19 hours/week;33 hours/week;4 hours;4 hours;7 hours daily;4
336;38;5 hours/week;24 hours/week;11 hours;1 hours;6 hours daily;1
337;32;15 hours/week;39 hours/week;2 hours;2 hours;7 hours daily;4
338;39;21 hours/week;37 hours/week;4 hours;4 hours;6 hours daily;2
339;22;9 hours/week;29 hours/week;0 hours;0 hours;5 hours daily;0
340;27;17 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;4
341;37;27 hours/week;57 hours/week;10 hours;10 hours;8 hours daily;5
342;27;10 hours/week;29 hours/week;2 hours;2 hours;4 hours daily;1
343;35;22 hours/week;59 hours/week;10 hours;10 hours;8 hours daily;5
344;36;22 hours/week;52 hours/week;9 hours;9 hours;9 hours daily;5
345;28;22 hours/week;51 hours/week;7 hours;7 hours;9 hours daily;5
346;27;12 hours/week;20 hours/week;0 hours;0 hours;6 hours daily;1
347;33;17 hours/week;34 hours/week;5 hours;5 hours;6 hours daily;4
348;36;4 hours/week;16 hours/week;1 hours;1 hours;4 hours daily;1
349;22;14 hours/week;4 hours/week;2 hours;2 hours;6 hours daily;0
350;23;7 hours/week;22 hours/week;0 hours;0 hours;4 hours daily;1
351;31;22 hours/week;42 hours/week;10 hours;10 hours;7 hours daily;5
352;37;28 hours/week;48 hours/week;7 hours;7 hours;8 hours daily;5
353;40;21 hours/week;56 hours/week;7 hours;7 hours;8 hours daily;5
354;32;21 hours/week;32 hours/week;2 hours;2 hours;6 hours daily;2
355;28;10 hours/week;19 hours/week;2 hours;2 hours;4 hours daily;0
356;32;16 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;3
357;20;16 hours/week;31 hours/week;6 hours;6 hours;7 hours daily;4
358;25;15 hours/week;39 hours/week;3 hours;3 hours;6 hours daily;4
359;31;21 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;2
360;28;2 hours/week;24 hours/week;0 hours;0 hours;3 hours daily;2
361;30;2 hours/week;12 hours/week;0 hours;0 hours;5 hours daily;2
362;24;17 hours/week;33 hours/week;5 hours;5 hours;7 hours daily;2
363;40;22 hours/week;58 hours/week;9 hours;9 hours;9 hours daily;5
364;29;14 hours/week;33 hours/week;2 hours;2 hours;7 hours daily;3
365;38;19 hours/week;33 hours/week;6 hours;6 hours;7 hours daily;3
366;27;21 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;2
367;27;23 hours/week;59 hours/week;9 hours;9 hours;7 hours daily;5
368;23;8 hours/week;2 hours/week;0 hours;0 hours;3 hours daily;2
369;32;17 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;4
370;29;26 hours/week;58 hours/week;8 hours;8 hours;8 hours daily;5
371;31;23 hours/week;52 hours/week;9 hours;9 hours;8 hours daily;5
372;21;25 hours/week;41 hours/week;11 hours;7 hours;9 hours daily;5
373;25;18 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;4
374;38;27 hours/week;56 hours/week;6 hours;6 hours;9 hours daily;5
375;40;21 hours/week;41 hours/week;8 hours;8 hours;9 hours daily;5
376;22;9 hours/week;26 hours/week;11 hours;0 hours;6 hours daily;2
