ID;Age;Family_Time;Works;Entertainment;Social_Life;Sleep;Economy
97;36;14 hours/week;40 hours/week;2 hours;2 hours;6 hours daily;4
98;20;19 hours/week;30 hours/week;11 hours;4 hours;7 hours daily;4
99;40;26 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
100;33;14 hours/week;9 hours/week;2 hours;2 hours;3 hours daily;1
101;27;16 hours/week;37 hours/week;3 hours;3 hours;6 hours daily;2
102;25;27 hours/week;45 hours/week;6 hours;6 hours;9 hours daily;5
103;39;26 hours/week;50 hours/week;8 hours;8 hours;8 hours daily;5
104;34;6 hours/week;2 hours/week;0 hours;0 hours;3 hours daily;0
105;34;21 hours/week;44 hours/week;7 hours;7 hours;7 hours daily;5
106;34;3 hours/week;11 hours/week;0 hours;0 hours;3 hours daily;0
107;36;24 hours/week;43 hours/week;9 hours;9 hours;8 hours daily;5
108;32;13 hours/week;15 hours/week;0 hours;0 hours;6 hours daily;1
109;21;27 hours/week;52 hours/week;8 hours;8 hours;8 hours daily;5
110;39;18 hours/week;33 hours/week;6 hours;6 hours;6 hours daily;4
111;20;22 hours/week;46 hours/week;6 hours;6 hours;7 hours daily;5
112;22;16 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;2
113;31;8 hours/week;13 hours/week;2 hours;2 hours;5 hours daily;2
114;36;27 hours/week;46 hours/week;7 hours;7 hours;9 hours daily;5
115;26;12 hours/week;21 hours/week;11 hours;0 hours;3 hours daily;2
116;30;2 hours/week;10 hours/week;0 hours;0 hours;6 hours daily;1
117;36;17 hours/week;32 hours/week;6 hours;6 hours;6 hours daily;2
118;35;27 hours/week;40 hours/week;6 hours;6 hours;9 hours daily;5
119;34;26 hours/week;52 hours/week;9 hours;9 hours;7 hours daily;5
120;29;26 hours/week;47 hours/week;8 hours;8 hours;9 hours daily;5
121;35;17 hours/week;39 hours/week;3 hours;3 hours;7 hours daily;3
122;38;21 hours/week;53 hours/week;7 hours;7 hours;7 hours daily;5
123;21;23 hours/week;48 hours/week;8 hours;8 hours;8 hours daily;5
124;38;16 hours/week;36 hours/week;2 hours;2 hours;6 hours daily;2
125;31;27 hours/week;55 hours/week;10 hours;10 hours;7 hours daily;5
126;20;10 hours/week;16 hours/week;1 hours;1 hours;3 hours daily;0
127;27;13 hours/week;27 hours/week;2 hours;2 hours;3 hours daily;0
128;39;0 hours/week;23 hours/week;1 hours;1 hours;5 hours daily;2
129;38;22 hours/week;60 hours/week;8 hours;8 hours;9 hours daily;5
130;36;17 hours/week;38 hours/week;5 hours;5 hours;6 hours daily;2
131;37;14 hours/week;28 hours/week;2 hours;2 hours;4 hours daily;2
132;35;14 hours/week;30 hours/week;4 hours;4 hours;7 hours daily;4
133;28;5 hours/week;30 hours/week;2 hours;2 hours;4 hours daily;2
134;30;10 hours/week;4 hours/week;1 hours;1 hours;3 hours daily;1
135;36;19 hours/week;40 hours/week;2 hours;2 hours;7 hours daily;4
136;29;14 hours/week;14 hours/week;0 hours;0 hours;3 hours daily;2
137;28;18 hours/week;40 hours/week;4 hours;4 hours;7 hours daily;2
138;24;8 hours/week;13 hours/week;1 hours;1 hours;6 hours daily;0
139;36;23 hours/week;41 hours/week;9 hours;9 hours;7 hours daily;5
140;38;18 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;2
141;20;14 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;3
142;37;9 hours/week;16 hours/week;2 hours;2 hours;6 hours daily;0
143;39;27 hours/week;56 hours/week;6 hours;6 hours;9 hours daily;5
144;40;27 hours/week;59 hours/week;11 hours;6 hours;9 hours daily;5
145;25;23 hours/week;48 hours/week;7 hours;7 hours;7 hours daily;5
146;25;11 hours/week;21 hours/week;0 hours;0 hours;5 hours daily;0
147;31;13 hours/week;7 hours/week;2 hours;2 hours;6 hours daily;0
148;23;19 hours/week;33 hours/week;6 hours;6 hours;6 hours daily;2
149;40;17 hours/week;30 hours/week;5 hours;5 hours;6 hours daily;4
150;33;21 hours/week;38 hours/week;6 hours;6 hours;7 hours daily;2
151;33;4 hours/week;13 hours/week;0 hours;0 hours;4 hours daily;1
152;33;11 hours/week;23 hours/week;2 hours;2 hours;5 hours daily;2
153;24;21 hours/week;30 hours/week;2 hours;2 hours;7 hours daily;2
154;33;24 hours/week;51 hours/week;9 hours;9 hours;8 hours daily;5
155;30;0 hours/week;22 hours/week;1 hours;1 hours;6 hours daily;1
156;25;23 hours/week;46 hours/week;6 hours;6 hours;8 hours daily;5
157;40;18 hours/week;31 hours/week;3 hours;3 hours;7 hours daily;4
158;31;10 hours/week;22 hours/week;0 hours;0 hours;4 hours daily;0
159;25;25 hours/week;41 hours/week;9 hours;9 hours;8 hours daily;5
160;30;24 hours/week;42 hours/week;8 hours;8 hours;8 hours daily;5
161;21;1 hours/week;12 hours/week;1 hours;1 hours;5 hours daily;2
162;28;1 hours/week;4 hours/week;1 hours;1 hours;3 hours daily;1
163;24;18 hours/week;30 hours/week;6 hours;6 hours;6 hours daily;2
164;21;5 hours/week;14 hours/week;2 hours;2 hours;6 hours daily;1
165;24;7 hours/week;11 hours/week;0 hours;0 hours;3 hours daily;1
166;32;22 hours/week;57 hours/week;9 hours;9 hours;7 hours daily;5
167;35;0 hours/week;22 hours/week;2 hours;2 hours;4 hours daily;1
168;31;14 hours/week;5 hours/week;2 hours;2 hours;4 hours daily;0
169;35;0 hours/week;10 hours/week;2 hours;2 hours;4 hours daily;2
170;39;15 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;2
171;32;17 hours/week;40 hours/week;2 hours;2 hours;7 hours daily;3
172;30;26 hours/week;40 hours/week;7 hours;7 hours;7 hours daily;5
173;36;20 hours/week;33 hours/week;11 hours;6 hours;7 hours daily;2
174;26;21 hours/week;54 hours/week;9 hours;9 hours;9 hours daily;5
175;24;20 hours/week;31 hours/week;5 hours;5 hours;7 hours daily;3
176;33;1 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;1
177;27;23 hours/week;52 hours/week;6 hours;6 hours;7 hours daily;5
178;22;14 hours/week;31 hours/week;4 hours;4 hours;7 hours daily;4
179;25;14 hours/week;0 hours/week;0 hours;0 hours;6 hours daily;2
180;28;9 hours/week;21 hours/week;2 hours;2 hours;4 hours daily;0
181;34;21 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;4
182;35;21 hours/week;52 hours/week;11 hours;6 hours;8 hours daily;5
183;34;17 hours/week;39 hours/week;5 hours;5 hours;6 hours daily;3
184;37;1 hours/week;25 hours/week;2 hours;2 hours;3 hours daily;2
185;35;21 hours/week;58 hours/week;7 hours;7 hours;7 hours daily;5
186;35;25 hours/week;57 hours/week;6 hours;6 hours;9 hours daily;5
187;29;17 hours/week;40 hours/week;3 hours;3 hours;6 hours daily;3
188;31;24 hours/week;58 hours/week;7 hours;7 hours;8 hours daily;5
189;36;14 hours/week;32 hours/week;6 hours;6 hours;6 hours daily;2
190;37;15 hours/week;33 hours/week;6 hours;6 hours;7 hours daily;4
191;32;27 hours/week;59 hours/week;6 hours;6 hours;8 hours daily;5
192;38;10 hours/week;23 hours/week;1 hours;1 hours;3 hours daily;0
193;34;24 hours/week;47 hours/week;9 hours;9 hours;7 hours daily;5
194;35;2 hours/week;0 hours/week;0 hours;0 hours;4 hours daily;1
195;35;27 hours/week;49 hours/week;6 hours;6 hours;8 hours daily;5
196;21;17 hours/week;35 hours/week;5 hours;5 hours;7 hours daily;4
197;31;5 hours/week;4 hours/week;0 hours;0 hours;4 hours daily;0
198;35;16 hours/week;30 hours/week;6 hours;6 hours;7 hours daily;3
199;40;10 hours/week;2 hours/week;1 hours;1 hours;4 hours daily;1
200;36;16 hours/week;40 hours/week;11 hours;4 hours;6 hours daily;4
201;23;9 hours/week;12 hours/week;2 hours;2 hours;5 hours daily;0
202;36;28 hours/week;47 hours/week;10 hours;10 hours;9 hours daily;5
203;25;21 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;3
204;22;4 hours/week;13 hours/week;0 hours;0 hours;3 hours daily;2
205;21;20 hours/week;39 hours/week;5 hours;5 hours;7 hours daily;2
206;34;24 hours/week;56 hours/week;10 hours;10 hours;7 hours daily;5
207;40;3 hours/week;17 hours/week;1 hours;1 hours;5 hours daily;0
208;28;6 hours/week;20 hours/week;11 hours;0 hours;3 hours daily;0
209;36;19 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;2
210;21;21 hours/week;37 hours/week;2 hours;2 hours;7 hours daily;2
211;22;15 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;2
212;32;24 hours/week;55 hours/week;9 hours;9 hours;9 hours daily;5
213;36;24 hours/week;51 hours/week;9 hours;9 hours;9 hours daily;5
214;39;25 hours/week;47 hours/week;7 hours;7 hours;7 hours daily;5
215;20;4 hours/week;24 hours/week;2 hours;2 hours;6 hours daily;0
216;30;19 hours/week;33 hours/week;3 hours;3 hours;7 hours daily;4
217;35;13 hours/week;13 hours/week;2 hours;2 hours;5 hours daily;0
218;36;8 hours/week;27 hours/week;11 hours;2 hours;4 hours daily;2
219;33;16 hours/week;39 hours/week;3 hours;3 hours;7 hours daily;2
220;24;24 hours/week;40 hours/week;7 hours;7 hours;8 hours daily;5
221;25;21 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;2
222;30;16 hours/week;31 hours/week;4 hours;4 hours;7 hours daily;4
223;29;10 hours/week;14 hours/week;1 hours;1 hours;3 hours daily;0
224;33;22 hours/week;43 hours/week;10 hours;10 hours;7 hours daily;5
225;39;16 hours/week;34 hours/week;4 hours;4 hours;7 hours daily;4
226;38;17 hours/week;37 hours/week;6 hours;6 hours;7 hours daily;3
227;32;18 hours/week;36 hours/week;3 hours;3 hours;7 hours daily;3
228;38;12 hours/week;2 hours/week;0 hours;0 hours;4 hours daily;1
229;23;18 hours/week;34 hours/week;6 hours;6 hours;7 hours daily;4
230;32;27 hours/week;50 hours/week;7 hours;7 hours;9 hours daily;5
231;35;28 hours/week;52 hours/week;10 hours;10 hours;8 hours daily;5
232;38;21 hours/week;51 hours/week;8 hours;8 hours;7 hours daily;5
233;20;11 hours/week;5 hours/week;0 hours;0 hours;3 hours daily;0
234;33;21 hours/week;30 hours/week;4 hours;4 hours;6 hours daily;3
235;35;12 hours/week;17 hours/week;2 hours;2 hours;6 hours daily;1
236;32;19 hours/week;36 hours/week;2 hours;2 hours;7 hours daily;4
237;28;19 hours/week;30 hours/week;6 hours;6 hours;7 hours daily;2
238;20;25 hours/week;50 hours/week;7 hours;7 hours;7 hours daily;5
239;25;15 hours/week;39 hours/week;4 hours;4 hours;6 hours daily;3
240;21;27 hours/week;48 hours/week;9 hours;9 hours;9 hours daily;5
241;27;11 hours/week;17 hours/week;1 hours;1 hours;6 hours daily;2
242;20;14 hours/week;36 hours/week;4 hours;4 hours;6 hours daily;2
243;23;20 hours/week;37 hours/week;4 hours;4 hours;6 hours daily;4
244;21;0 hours/week;7 hours/week;2 hours;2 hours;6 hours daily;0
245;26;16 hours/week;38 hours/week;3 hours;3 hours;6 hours daily;4
246;37;2 hours/week;14 hours/week;11 hours;0 hours;4 hours daily;1
247;33;20 hours/week;35 hours/week;2 hours;2 hours;6 hours daily;2
248;38;22 hours/week;41 hours/week;8 hours;8 hours;8 hours daily;5
249;33;21 hours/week;37 hours/week;5 hours;5 hours;7 hours daily;4
250;35;22 hours/week;58 hours/week;8 hours;8 hours;9 hours daily;5
251;37;20 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;4
252;33;20 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;4
253;22;17 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;4
254;34;20 hours/week;38 hours/week;4 hours;4 hours;6 hours daily;3
255;28;8 hours/week;22 hours/week;2 hours;2 hours;4 hours daily;2
256;21;6 hours/week;26 hours/week;2 hours;2 hours;4 hours daily;1
257;34;21 hours/week;46 hours/week;7 hours;7 hours;7 hours daily;5
258;34;26 hours/week;46 hours/week;8 hours;8 hours;9 hours daily;5
259;24;1 hours/week;21 hours/week;0 hours;0 hours;5 hours daily;2
260;20;5 hours/week;6 hours/week;0 hours;0 hours;3 hours daily;0
261;39;26 hours/week;51 hours/week;6 hours;6 hours;7 hours daily;5
262;40;22 hours/week;46 hours/week;10 hours;10 hours;8 hours daily;5
263;37;19 hours/week;31 hours/week;6 hours;6 hours;6 hours daily;4
264;39;5 hours/week;21 hours/week;0 hours;0 hours;5 hours daily;1
265;24;14 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;4
266;32;20 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;3
267;37;8 hours/week;19 hours/week;2 hours;2 hours;4 hours daily;1
268;20;23 hours/week;48 hours/week;10 hours;10 hours;7 hours daily;5
269;31;7 hours/week;21 hours/week;2 hours;2 hours;3 hours daily;1
270;33;25 hours/week;46 hours/week;10 hours;10 hours;8 hours daily;5
271;30;4 hours/week;22 hours/week;1 hours;1 hours;3 hours daily;0
272;27;25 hours/week;40 hours/week;9 hours;9 hours;9 hours daily;5
273;38;19 hours/week;39 hours/week;4 hours;4 hours;7 hours daily;3
274;40;0 hours/week;8 hours/week;2 hours;2 hours;6 hours daily;2
275;37;16 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;4
276;32;21 hours/week;51 hours/week;9 hours;9 hours;9 hours daily;5
277;29;2 hours/week;15 hours/week;0 hours;0 hours;6 hours daily;0
278;26;3 hours/week;25 hours/week;2 hours;2 hours;4 hours daily;0
279;29;17 hours/week;31 hours/week;3 hours;3 hours;6 hours daily;2
280;25;5 hours/week;9 hours/week;0 hours;0 hours;3 hours daily;1
281;37;8 hours/week;3 hours/week;1 hours;1 hours;6 hours daily;2
282;20;1 hours/week;5 hours/week;2 hours;2 hours;4 hours daily;1
283;26;26 hours/week;43 hours/week;10 hours;10 hours;7 hours daily;5
284;29;25 hours/week;49 hours/week;8 hours;8 hours;9 hours daily;5
285;29;12 hours/week;11 hours/week;0 hours;0 hours;3 hours daily;2
286;37;16 hours/week;36 hours/week;3 hours;3 hours;6 hours daily;3
287;38;17 hours/week;39 hours/week;3 hours;3 hours;6 hours daily;4
288;31;14 hours/week;37 hours/week;5 hours;5 hours;6 hours daily;2
289;21;20 hours/week;30 hours/week;3 hours;3 hours;6 hours daily;2
290;22;22 hours/week;46 hours/week;11 hours;9 hours;9 hours daily;5
291;26;4 hours/week;2 hours/week;2 hours;2 hours;5 hours daily;1
292;30;28 hours/week;45 hours/week;7 hours;7 hours;8 hours daily;5
293;21;23 hours/week;46 hours/week;7 hours;7 hours;8 hours daily;5
294;29;16 hours/week;34 hours/week;6 hours;6 hours;6 hours daily;4
295;28;0 hours/week;24 hours/week;1 hours;1 hours;3 hours daily;1
296;35;14 hours/week;38 hours/week;11 hours;2 hours;6 hours daily;3
297;36;24 hours/week;56 hours/week;8 hours;8 hours;7 hours daily;5
298;37;28 hours/week;40 hours/week;10 hours;10 hours;7 hours daily;5
299;26;21 hours/week;51 hours/week;10 hours;10 hours;8 hours daily;5
300;36;9 hours/week;6 hours/week;1 hours;1 hours;3 hours daily;0
301;28;14 hours/week;38 hours/week;5 hours;5 hours;7 hours daily;4
302;36;24 hours/week;51 hours/week;10 hours;10 hours;9 hours daily;5
303;32;17 hours/week;34 hours/week;3 hours;3 hours;6 hours daily;3
304;31;24 hours/week;60 hours/week;6 hours;6 hours;9 hours daily;5
305;23;21 hours/week;55 hours/week;9 hours;9 hours;9 hours daily;5
306;34;24 hours/week;53 hours/week;8 hours;8 hours;9 hours daily;5
307;37;12 hours/week;20 hours/week;1 hours;1 hours;4 hours daily;1
308;39;3 hours/week;2 hours/week;1 hours;1 hours;3 hours daily;0
309;40;17 hours/week;36 hours/week;5 hours;5 hours;7 hours daily;2
310;33;14 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;2
311;21;20 hours/week;31 hours/week;5 hours;5 hours;6 hours daily;4
312;20;24 hours/week;47 hours/week;6 hours;6 hours;7 hours daily;5
313;31;17 hours/week;33 hours/week;3 hours;3 hours;6 hours daily;3
314;28;24 hours/week;49 hours/week;10 hours;10 hours;9 hours daily;5
315;29;22 hours/week;53 hours/week;10 hours;10 hours;7 hours daily;5
316;40;22 hours/week;47 hours/week;9 hours;9 hours;7 hours daily;5
317;35;6 hours/week;15 hours/week;0 hours;0 hours;4 hours daily;1
318;31;20 hours/week;40 hours/week;6 hours;6 hours;7 hours daily;3
319;29;18 hours/week;38 hours/week;4 hours;4 hours;7 hours daily;3
320;25;14 hours/week;24 hours/week;2 hours;2 hours;5 hours daily;1
321;32;23 hours/week;51 hours/week;9 hours;9 hours;9 hours daily;5
322;36;14 hours/week;36 hours/week;5 hours;5 hours;7 hours daily;2
323;25;17 hours/week;35 hours/week;5 hours;5 hours;6 hours daily;4
324;35;14 hours/week;38 hours/week;2 hours;2 hours;7 hours daily;4
325;34;4 hours/week;17 hours/week;11 hours;2 hours;5 hours daily;2
326;25;8 hours/week;7 hours/week;1 hours;1 hours;4 hours daily;2
327;26;26 hours/week;45 hours/week;11 hours;9 hours;7 hours daily;5
328;38;9 hours/week;1 hours/week;2 hours;2 hours;3 hours daily;0
329;23;25 hours/week;54 hours/week;8 hours;8 hours;9 hours daily;5
330;34;25 hours/week;51 hours/week;7 hours;7 hours;7 hours daily;5
331;24;26 hours/week;51 hours/week;8 hours;8 hours;7 hours daily;5
332;26;3 hours/week;11 hours/week;2 hours;2 hours;6 hours daily;0
333;25;14 hours/week;35 hours/week;3 hours;3 hours;6 hours daily;2
334;24;14 hours/week;35 hours/week;2 hours;2 hours;7 hours daily;3
335;35;24 hours/week;52 hours/week;10 hours;10 hours;7 hours daily;5
336;23;3 hours/week;10 hours/week;1 hours;1 hours;4 hours daily;1
337;33;19 hours/week;34 hours/week;3 hours;3 hours;6 hours daily;4
338;34;6 hours/week;3 hours/week;1 hours;1 hours;6 hours daily;2
339;33;17 hours/week;40 hours/week;2 hours;2 hours;6 hours daily;2
340;28;5 hours/week;17 hours/week;1 hours;1 hours;4 hours daily;2
341;31;16 hours/week;30 hours/week;6 hours;6 hours;6 hours daily;4
342;38;14 hours/week;29 hours/week;1 hours;1 hours;6 hours daily;1
343;22;7 hours/week;30 hours/week;2 hours;2 hours;6 hours daily;2
344;25;17 hours/week;33 hours/week;4 hours;4 hours;6 hours daily;4
345;32;1 hours/week;12 hours/week;0 hours;0 hours;6 hours daily;0
346;37;26 hours/week;47 hours/week;9 hours;9 hours;9 hours daily;5
347;40;20 hours/week;33 hours/week;6 hours;6 hours;6 hours daily;4
348;24;21 hours/week;49 hours/week;8 hours;8 hours;8 hours daily;5
349;24;11 hours/week;15 hours/week;2 hours;2 hours;3 hours daily;2
350;39;5 hours/week;9 hours/week;0 hours;0 hours;3 hours daily;2
351;32;19 hours/week;31 hours/week;2 hours;2 hours;7 hours daily;4
352;35;2 hours/week;9 hours/week;1 hours;1 hours;6 hours daily;1
353;30;21 hours/week;50 hours/week;9 hours;9 hours;9 hours daily;5
354;29;23 hours/week;42 hours/week;6 hours;6 hours;7 hours daily;5
355;38;1 hours/week;15 hours/week;0 hours;0 hours;4 hours daily;1
356;30;14 hours/week;39 hours/week;3 hours;3 hours;6 hours daily;4
357;40;26 hours/week;51 hours/week;6 hours;6 hours;8 hours daily;5
358;25;14 hours/week;33 hours/week;5 hours;5 hours;6 hours daily;4
359;24;23 hours/week;41 hours/week;9 hours;9 hours;8 hours daily;5
360;29;25 hours/week;55 hours/week;9 hours;9 hours;9 hours daily;5
361;30;1 hours/week;28 hours/week;1 hours;1 hours;5 hours daily;1
362;23;14 hours/week;11 hours/week;0 hours;0 hours;5 hours daily;2
363;40;19 hours/week;30 hours/week;5 hours;5 hours;7 hours daily;2
364;31;27 hours/week;57 hours/week;8 hours;8 hours;9 hours daily;5
365;36;18 hours/week;37 hours/week;4 hours;4 hours;6 hours daily;3
366;25;20 hours/week;39 hours/week;4 hours;4 hours;6 hours daily;4
367;39;5 hours/week;16 hours/week;0 hours;0 hours;6 hours daily;2
368;34;17 hours/week;34 hours/week;4 hours;4 hours;6 hours daily;4
369;38;11 hours/week;2 hours/week;1 hours;1 hours;5 hours daily;1
370;23;22 hours/week;59 hours/week;10 hours;10 hours;8 hours daily;5
371;25;3 hours/week;14 hours/week;2 hours;2 hours;3 hours daily;1
372;32;18 hours/week;39 hours/week;3 hours;3 hours;7 hours daily;4
373;32;21 hours/week;55 hours/week;8 hours;8 hours;9 hours daily;5
374;40;17 hours/week;40 hours/week;5 hours;5 hours;7 hours daily;2
375;32;1 hours/week;12 hours/week;0 hours;0 hours;6 hours daily;0
376;38;2 hours/week;4 hours/week;0 hours;0 hours;5 hours daily;1
